n=,9,9,6,1,2,,9,8,0,1,,9,7,2,,9,0,,9,0,1,3,1,3,1,0,4,2,2,0,1,0,1,2,3,3,0,0,1,1,1,3,3,0,2,1,2,0,4,,9,9,0,,9,2,3,4,,9,0,2,1,3,3
,,,66.67%,11.11%,66.67%,,100.00%,88.89%,0.00%,11.11%,,100.00%,77.78%,22.22%,,100.00%,0.00%,,100.00%,0.00%,11.11%,33.33%,11.11%,33.33%,11.11%,0.00%,44.44%,22.22%,22.22%,0.00%,11.11%,0.00%,11.11%,22.22%,33.33%,33.33%,0.00%,0.00%,11.11%,11.11%,11.11%,33.33%,33.33%,0.00%,22.22%,11.11%,22.22%,0.00%,44.44%,,100.00%,100.00%,0.00%,,100.00%,22.22%,33.33%,44.44%,,100.00%,0.00%,22.22%,11.11%,33.33%,33.33%
,,,,,,,,,,,,,,,,,,,,,1,6,3,12,5,,4,4,6,0,5,,1,4,9,12,0,,1,2,3,12,15,,2,2,6,0,20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,,,,,,0.826086957,,,,,,1.130434783,,,,,,1.434782609,,,,,,1.304347826,,,,,,,,,,,,,,,,,,,,,
ID,location,"Considering the potential for a pharmaceutical to be approved in the nm-CRPC space, if approved would you measure PSADT every time you check PSA?",Yes,No,Already measure PSADT every time I check PSA,,Would you employ the use of an app or an online PSADT calculator if it was easily accessible and user friendly?,Yes,No,Already use a formal PSADT calculator,,The phase III clinical trial SPARTAN investigated the effects of Apalutamide on nm-CRPC. The PSADT for patient inclusion in this trial was ?10months. If Apalutamide is approved for nm-CRPC would you consider broadening your inclusion criteria for therapy initiation in nm-CRPC?,Yes,No,,For treatment in nm-CRPC the extension of time between ADT failure and presence of metastases is an important outcome. What extension of time until detectable metastases would you view as successful for a therapy initiated in nm-CRPC?,,,Please rank the following outcomes in order of how significantly they impact your patient management decisions:,Time to symptomatic progression,1,2,3,4,5,Time to subsequent therapy,1,2,3,4,5,Metastasis free survival,1,2,3,4,5,Overall survival,1,2,3,4,5,Quality of life,1,2,3,4,5,,"A minority of urologists prescribe abiraterone or enzalutamide for mCRPC. If an anti-androgen is approved for treatment of nm-CRPC, do you believe urologists will subsequently become more comfortable treating with anti-androgens in mCRPC?",Yes,No,,"During the advisory board, the first presentation of the day connected the mechanism of action of abiraterone to differences in QoL. Did this mechanistic explanation of how abiraterone works provide rationale as to why there are QoL differences observed between Zytiga and Xtandi?",Yes,No,Already understood MOA differences,,How influential would the availability of a well-designed patient support program linked across the prostate cancer continuum be towards your prostate cancer treatment choice?,Not at all influential,Slightly influential,Moderately influential,Very influential,Extremely influential
,,Question ID: 623,Input ID: 3252,Input ID: 3253,Input ID: 3254,,Question ID: 624,Input ID: 3255,Input ID: 3256,Input ID: 3257,,Question ID: 625,Input ID: 3258,Input ID: 3259,,Question ID: 626,Input ID: 3260,,Question ID: 627,,Input ID: 3261,Input ID: 3262,Input ID: 3263,Input ID: 3264,Input ID: 3265,,Input ID: 3261,Input ID: 3262,Input ID: 3263,Input ID: 3264,Input ID: 3265,,Input ID: 3261,Input ID: 3262,Input ID: 3263,Input ID: 3264,Input ID: 3265,,Input ID: 3261,Input ID: 3262,Input ID: 3263,Input ID: 3264,Input ID: 3265,,Input ID: 3261,Input ID: 3262,Input ID: 3263,Input ID: 3264,Input ID: 3265,,Question ID: 628,Input ID: 3266,Input ID: 3267,,Question ID: 629,Input ID: 3268,Input ID: 3269,Input ID: 3270,,Question ID: 630,Input ID: 3271,Input ID: 3272,Input ID: 3273,Input ID: 3274,Input ID: 3275
,,| Type: radio,| Input Position: 1,| Input Position: 2,| Input Position: 3,,| Type: radio,| Input Position: 1,| Input Position: 2,| Input Position: 3,,| Type: radio,| Input Position: 1,| Input Position: 2,,| Type: textbox,| Input Position: 1,,| Type: ranking,,| Input Position: 1,| Input Position: 2,| Input Position: 3,| Input Position: 4,| Input Position: 5,,| Input Position: 1,| Input Position: 2,| Input Position: 3,| Input Position: 4,| Input Position: 5,,| Input Position: 1,| Input Position: 2,| Input Position: 3,| Input Position: 4,| Input Position: 5,,| Input Position: 1,| Input Position: 2,| Input Position: 3,| Input Position: 4,| Input Position: 5,,| Input Position: 1,| Input Position: 2,| Input Position: 3,| Input Position: 4,| Input Position: 5,,| Type: radio,| Input Position: 1,| Input Position: 2,,| Type: radio,| Input Position: 1,| Input Position: 2,| Input Position: 3,,| Type: radio,| Input Position: 1,| Input Position: 2,| Input Position: 3,| Input Position: 4,| Input Position: 5
329,Montreal,1,,,1,,1,1,,,,1,1,,,1,2-3 y,,1,,,,,1,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,,1,1,,,1,1,,,,1,,,,1,
370,Montreal,1,1,,,,1,1,,,,1,1,,,1,2y,,1,,,1,,,,,1,,,,,,,,,1,,,,,,,1,,,,1,,,,1,1,,,1,,1,,,1,,,,1,
1103,Montreal,1,1,,,,1,1,,,,1,1,,,1,2 years,,1,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,1,,,,,1
1661,Montreal,1,1,,,,1,1,,,,1,1,,,1,6 to 12 months,,1,,,,,,1,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,1,1,,,1,1,,,,1,,,,1,
